1

Nombre       |CostoEstimado|
-------------|-------------|
Monkey Doctor| 1000000.0000|
Sales manager|  800000.0000|
Seals manager|  950000.0000|
Wine         | 5450000.0000|

2

RazonSocial                   |CUIT        |Contacto                |
------------------------------|------------|------------------------|
Kloster Inc                   |99          |(49) 08363362115        |
UTN                           |22-222222-2 |info@utn.edu.ar         |
Clifton Goldney Inc           |33-333333-3 |clifton@goldney.com.ar  |
Strebern Ich                  |55-555555-5 |[NULL]                  |
Vaca SA                       |66-666666-6 |info@alancow.com.ar     |
Adducci                       |88-888888-8 |adducci@gmail.com       |
Estudio Contable Arevalo y Cía|99-999999-9 |arevalo@yahoo.com.ar    |
White SA                      |11-0000000-1|nazarenwhite@hotmail.com|

3

id|Nombre |
--|-------|
 2|Uruguay|
 3|Chile  |
 7|Nigeria|

4

Nombre                         |
-------------------------------|
Goto Game Jam Winner Randomizer|
Gentesss                       |

5

ID|Nombre                                    |PrecioHoraBase|
--|------------------------------------------|--------------|
 3|Diseño de interfaz UI                     |     4000.0000|
 4|Diseño de experiencia del usuario         |     4000.0000|
 5|Configuración de ambientes de programación|     3500.0000|
 6|Programación en C++                       |     3000.0000|
 7|Programación en C#                        |     3000.0000|
 8|Programación en Javascript                |     3000.0000|
 9|Programación en PHP                       |     2500.0000|
10|Testing unitario                          |     2000.0000|
11|Testing de integración                    |     2000.0000|
12|Instalación y configuración               |     1500.0000|
13|Soporte de bugs                           |     3000.0000|
14|Reingeniería de procesos                  |     8000.0000|

6

ID  |Nombre                         |CostoEstimado|
----|-------------------------------|-------------|
A113|Goto Game Jam Winner Randomizer|   50000.0000|
C40 |Faker                          |   50000.0000|

7

apellido         |nombre            |
-----------------|------------------|
Arostegui        |Isidoro           |
Badano           |Alejandro Agustin |
Crucci           |Lucas             |
Figueira         |Alexis Damian     |
Petrignani Castro|Ignacio           |
Rasjido          |Adriel Elian      |
Tejeda           |Mathias Leandro   |
Vigliaccio       |Sofia Noemi       |
Yomayel          |Luciano Federico  |

8

RazonSocial                   |Nombre        |Comenzados|SinComenzar|
------------------------------|--------------|----------|-----------|
Brian Lara                    |Estados Unidos|         4|          1|
Legna Nomis                   |Inglaterra    |         4|          0|
Kloster Inc                   |Italia        |         0|          1|
UTN                           |Argentina     |         1|          0|
World Animal Protection       |Estados Unidos|         2|          0|
Clifton Goldney Inc           |Estados Unidos|         0|          0|
Strebern Ich                  |Italia        |         0|          0|
Vaca SA                       |[NULL]        |         1|          0|
Hugo Gomez                    |[NULL]        |         1|          0|
Adducci                       |Argentina     |         1|          0|
Estudio Contable Arevalo y Cía|Argentina     |         0|          0|
White SA                      |Argentina     |         0|          0|

9
nombre            |Nombre                                    |Internos|Externos|
------------------|------------------------------------------|--------|--------|
Login             |Análisis de requerimientos                |       4|       0|
Login             |Diseño de base de datos                   |       2|       1|
Login             |Diseño de interfaz UI                     |       1|       0|
Login             |Programación en C#                        |       0|       1|
Login             |Programación en Javascript                |       3|       1|
Login             |Programación en PHP                       |       1|       2|
Login             |Testing unitario                          |       0|       0|
Login             |Testing de integración                    |       2|       3|
Login             |Instalación y configuración               |       1|       1|
Login             |Soporte de bugs                           |       3|       1|
Login             |Reingeniería de procesos                  |       2|       1|
Staff             |Diseño de base de datos                   |       2|       0|
Staff             |Diseño de experiencia del usuario         |       2|       0|
Staff             |Configuración de ambientes de programación|       0|       1|
Staff             |Programación en C++                       |       3|       1|
Staff             |Programación en C#                        |       2|       1|
Staff             |Programación en Javascript                |       2|       1|
Staff             |Programación en PHP                       |       1|       3|
Staff             |Testing unitario                          |       0|       0|
Staff             |Testing de integración                    |       2|       0|
Staff             |Instalación y configuración               |       2|       1|
Estudiantes       |Programación en C#                        |       0|       0|
Estudiantes       |Programación en Javascript                |       1|       1|
Estudiantes       |Testing unitario                          |       0|       0|
Estudiantes       |Testing de integración                    |       0|       0|
Estudiantes       |Soporte de bugs                           |       0|       0|
Estudiantes       |Reingeniería de procesos                  |       3|       1|
Calificaciones    |Diseño de experiencia del usuario         |       0|       2|
Calificaciones    |Programación en C#                        |       0|       0|
Calificaciones    |Programación en Javascript                |       5|       1|
Calificaciones    |Programación en PHP                       |       2|       1|
Calificaciones    |Testing de integración                    |       2|       1|
Calificaciones    |Instalación y configuración               |       0|       1|
Calificaciones    |Soporte de bugs                           |       0|       0|
Pagos             |Análisis de requerimientos                |       0|       0|
Pagos             |Programación en PHP                       |       3|       0|
Sistema de mail   |Análisis de requerimientos                |       1|       2|
Sistema de mail   |Diseño de base de datos                   |       3|       0|
Sistema de mail   |Diseño de interfaz UI                     |       2|       1|
Sistema de mail   |Configuración de ambientes de programación|       3|       0|
Sistema de mail   |Programación en C++                       |       2|       0|
Sistema de mail   |Programación en PHP                       |       0|       1|
Sistema de mail   |Testing unitario                          |       3|       0|
Sistema de mail   |Testing de integración                    |       1|       0|
Sistema de mail   |Instalación y configuración               |       1|       0|
Sistema de mail   |Soporte de bugs                           |       1|       0|
Proveedores       |Diseño de interfaz UI                     |       1|       0|
Proveedores       |Configuración de ambientes de programación|       2|       0|
Proveedores       |Programación en C#                        |       0|       1|
Proveedores       |Testing de integración                    |       4|       0|
Proveedores       |Instalación y configuración               |       1|       1|
Proveedores       |Soporte de bugs                           |       1|       0|
Pagos             |Análisis de requerimientos                |       2|       1|
Pagos             |Diseño de base de datos                   |       3|       1|
Pagos             |Diseño de interfaz UI                     |       4|       0|
Pagos             |Diseño de experiencia del usuario         |       1|       1|
Pagos             |Configuración de ambientes de programación|       3|       2|
Pagos             |Programación en C++                       |       1|       1|
Pagos             |Programación en C#                        |       2|       1|
Pagos             |Programación en Javascript                |       0|       0|
Pagos             |Programación en PHP                       |       3|       0|
Pagos             |Soporte de bugs                           |       0|       0|
Clientes          |Análisis de requerimientos                |       2|       0|
Clientes          |Diseño de base de datos                   |       1|       0|
Clientes          |Diseño de interfaz UI                     |       1|       0|
Clientes          |Configuración de ambientes de programación|       3|       1|
Clientes          |Programación en C#                        |       0|       0|
Clientes          |Testing unitario                          |       2|       0|
Clientes          |Testing de integración                    |       2|       0|
Clientes          |Instalación y configuración               |       1|       0|
Clientes          |Soporte de bugs                           |       1|       2|
Productos         |Análisis de requerimientos                |       4|       0|
Productos         |Diseño de interfaz UI                     |       2|       2|
Productos         |Diseño de experiencia del usuario         |       2|       0|
Productos         |Programación en C#                        |       3|       0|
Productos         |Programación en Javascript                |       2|       0|
Productos         |Programación en PHP                       |       0|       0|
Productos         |Testing unitario                          |       1|       1|
Ventas            |Diseño de experiencia del usuario         |       2|       0|
Ventas            |Programación en Javascript                |       2|       0|
Ventas            |Programación en PHP                       |       2|       0|
Ventas            |Instalación y configuración               |       0|       0|
Animales          |Análisis de requerimientos                |       0|       0|
Animales          |Diseño de base de datos                   |       2|       0|
Animales          |Diseño de interfaz UI                     |       3|       3|
Animales          |Diseño de experiencia del usuario         |       2|       0|
Animales          |Programación en C++                       |       3|       2|
Animales          |Programación en C#                        |       0|       1|
Animales          |Programación en Javascript                |       0|       0|
Animales          |Programación en PHP                       |       1|       1|
Animales          |Testing unitario                          |       2|       0|
Animales          |Soporte de bugs                           |       0|       0|
Animales          |Reingeniería de procesos                  |       3|       0|
Stock de comida   |Diseño de base de datos                   |       0|       1|
Stock de comida   |Diseño de experiencia del usuario         |       1|       1|
Stock de comida   |Programación en C++                       |       2|       0|
Stock de comida   |Testing unitario                          |       2|       0|
Stock de comida   |Testing de integración                    |       4|       0|
Stock de vacunas  |Diseño de interfaz UI                     |       2|       0|
Stock de vacunas  |Instalación y configuración               |       0|       0|
Stock de vacunas  |Soporte de bugs                           |       4|       1|
Stock de vacunas  |Reingeniería de procesos                  |       0|       2|
Mecánicas         |Análisis de requerimientos                |       0|       3|
Mecánicas         |Diseño de base de datos                   |       3|       0|
Mecánicas         |Diseño de experiencia del usuario         |       4|       0|
Mecánicas         |Configuración de ambientes de programación|       2|       0|
Mecánicas         |Programación en C++                       |       4|       0|
Mecánicas         |Instalación y configuración               |       0|       0|
Corrector         |Análisis de requerimientos                |       2|       0|
Corrector         |Programación en Javascript                |       1|       0|
Adoptantes        |Análisis de requerimientos                |       0|       1|
Adoptantes        |Diseño de base de datos                   |       0|       0|
Adoptantes        |Diseño de interfaz UI                     |       0|       0|
Adoptantes        |Diseño de experiencia del usuario         |       0|       0|
Adoptantes        |Diseño de experiencia del usuario         |       0|       0|
Adoptantes        |Configuración de ambientes de programación|       0|       0|
Adoptantes        |Programación en C++                       |       3|       0|
Adoptantes        |Programación en C#                        |       2|       0|
Adoptantes        |Programación en Javascript                |       1|       0|
Adoptantes        |Instalación y configuración               |       0|       1|
Adoptantes        |Soporte de bugs                           |       0|       2|
Mascotas          |Diseño de base de datos                   |       3|       0|
Mascotas          |Diseño de interfaz UI                     |       1|       0|
Mascotas          |Programación en C#                        |       2|       1|
Mascotas          |Programación en Javascript                |       2|       0|
Mascotas          |Programación en PHP                       |       1|       0|
Mascotas          |Instalación y configuración               |       0|       1|
Mascotas          |Soporte de bugs                           |       1|       1|
Adopciones        |Análisis de requerimientos                |       3|       0|
